3	518337
14	221942
22	217667
18	216942
9	204300
15	201396
19	197315
16	195571
2	195123
6	187949
67	106760
55	101416
85	99738
95	98787
44	97297
29	95787
39	95631
72	95213
71	95179
87	91743
46	91028
32	90810
45	89068
93	86587
73	86325
52	81783
56	81459
38	80602
80	79653
31	79232
21	76868
86	76857
34	75782
61	74035
35	73380
97	73261
37	70641
69	69735
54	68466
53	63345
28	62846
10	57766
425	57116
429	56787
446	56605
474	55038
431	54541
380	54215
244	54095
12	53980
65	52831
472	52548
42	52534
316	52501
168	52404
154	52318
323	52223
283	52124
477	51104
17	50953
169	49487
144	48538
390	48502
492	48495
