[3, 14]	220811
[18, 3]	216885
[3, 22]	216595
[9, 3]	203732
[3, 15]	201045
[19, 3]	197275
[16, 3]	195535
[2, 3]	194696
[3, 6]	186690
[18, 14]	123779
[18, 3, 14]	123775
[14, 22]	123545
[3, 14, 22]	123542
[18, 22]	121818
[18, 3, 22]	121809
[9, 14]	117682
[9, 3, 14]	117678
[14, 15]	116940
[3, 14, 15]	116935
[9, 18]	116409
[9, 18, 3]	116403
[9, 22]	116088
[9, 3, 22]	116087
[22, 15]	115322
[3, 22, 15]	115318
[18, 15]	115132
[18, 3, 15]	115129
[19, 14]	114893
[19, 3, 14]	114891
[16, 14]	114383
[16, 3, 14]	114380
[18, 19]	114071
[19, 18, 3]	114067
[2, 14]	113645
[2, 3, 14]	113640
[19, 22]	113457
[19, 3, 22]	113455
[16, 18]	113179
[16, 18, 3]	113172
[16, 22]	112445
[16, 3, 22]	112443
[2, 18]	112390
[18, 2, 3]	112386
[2, 22]	112270
[2, 3, 22]	112267
[6, 14]	110002
[3, 6, 14]	110000
[9, 15]	109899
[9, 3, 15]	109893
[18, 6]	108632
[18, 3, 6]	108627
[6, 22]	108500
[3, 6, 22]	108494
[9, 19]	108273
[19, 9, 3]	108269
[16, 9]	107745
[16, 9, 3]	107743
[19, 15]	107523
[19, 3, 15]	107520
[9, 2, 3]	107068
[9, 2]	107068
[16, 15]	106546
[16, 3, 15]	106540
[2, 15]	106383
